t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.376000,0.213927938,0.006840526,0.631317817,-0.008914017
0.377000,0.211777366,0.006928100,0.631545332,-0.008815097
0.378000,0.209625241,0.007015721,0.631760716,-0.008716177
0.379000,0.207471690,0.007103382,0.631964036,-0.008617269
0.380000,0.205316842,0.007191075,0.632155359,-0.008518381
0.381000,0.203160824,0.007278791,0.632334755,-0.008419524
0.382000,0.201003765,0.007366524,0.632502293,-0.008320708
0.383000,0.198845796,0.007454264,0.632658044,-0.008221941
0.384000,0.196687045,0.007542005,0.632802080,-0.008123233
0.385000,0.194527644,0.007629737,0.632934471,-0.008024595
0.386000,0.192367723,0.007717453,0.633055292,-0.007926034
0.387000,0.190207413,0.007805145,0.633164615,-0.007827561
0.388000,0.188046846,0.007892805,0.633262516,-0.007729185
0.389000,0.185886156,0.007980423,0.633349069,-0.007630914
0.390000,0.183725474,0.008067993,0.633424350,-0.007532759
0.391000,0.181564933,0.008155505,0.633488436,-0.007434728
0.392000,0.179404667,0.008242952,0.633541404,-0.007336829
0.393000,0.177244811,0.008330326,0.633583333,-0.007239072
0.394000,0.175085498,0.008417617,0.633614300,-0.007141466
0.395000,0.172926863,0.008504817,0.633634386,-0.007044019
0.396000,0.170769042,0.008591918,0.633643671,-0.006946740
0.397000,0.168612170,0.008678913,0.633642234,-0.006849637
0.398000,0.166456382,0.008765791,0.633630159,-0.006752719
0.399000,0.164301815,0.008852545,0.633607527,-0.006655994
0.400000,0.162148606,0.008939166,0.633574420,-0.006559471
0.401000,0.159996890,0.009025645,0.633530922,-0.006463157
0.402000,0.157846806,0.009111975,0.633477117,-0.006367061
0.403000,0.155698490,0.009198147,0.633413089,-0.006271190
0.404000,0.153552081,0.009284152,0.633338924,-0.006175553
0.405000,0.151407716,0.009369981,0.633254707,-0.006080157
0.406000,0.149265534,0.009455626,0.633160525,-0.005985011
0.407000,0.147125672,0.009541079,0.633056464,-0.005890121
0.408000,0.144988270,0.009626331,0.632942612,-0.005795495
0.409000,0.142853466,0.009711373,0.632819056,-0.005701141
0.410000,0.140721400,0.009796197,0.632685886,-0.005607066
0.411000,0.138592210,0.009880794,0.632543190,-0.005513277
0.412000,0.136466037,0.009965156,0.632391058,-0.005419782
0.413000,0.134343020,0.010049274,0.632229580,-0.005326587
0.414000,0.132223298,0.010133139,0.632058845,-0.005233699
0.415000,0.130107012,0.010216744,0.631878946,-0.005141126
0.416000,0.127994301,0.010300079,0.631689973,-0.005048873
0.417000,0.125885307,0.010383137,0.631492018,-0.004956949
0.418000,0.123780168,0.010465907,0.631285173,-0.004865358
0.419000,0.121679026,0.010548383,0.631069532,-0.004774108
0.420000,0.119582021,0.010630556,0.630845187,-0.004683205
0.421000,0.117489293,0.010712417,0.630612232,-0.004592655
0.422000,0.115400984,0.010793958,0.630370761,-0.004502464
0.423000,0.113317233,0.010875170,0.630120867,-0.004412639
0.424000,0.111238182,0.010956046,0.629862646,-0.004323185
0.425000,0.109163971,0.011036576,0.629596192,-0.004234108
0.426000,0.107094741,0.011116752,0.629321602,-0.004145414
0.427000,0.105030633,0.011196567,0.629038970,-0.004057108
0.428000,0.102971786,0.011276012,0.628748392,-0.003969197
0.429000,0.100918343,0.011355079,0.628449965,-0.003881684
0.430000,0.098870444,0.011433760,0.628143785,-0.003794577
0.431000,0.096828228,0.011512046,0.627829950,-0.003707879
0.432000,0.094791838,0.011589930,0.627508556,-0.003621596
0.433000,0.092761412,0.011667404,0.627179701,-0.003535733
0.434000,0.090737092,0.011744459,0.626843482,-0.003450295
0.435000,0.088719018,0.011821088,0.626499997,-0.003365286
0.436000,0.086707330,0.011897283,0.626149345,-0.003280712
0.437000,0.084702167,0.011973035,0.625791624,-0.003196576
0.438000,0.082703671,0.012048339,0.625426932,-0.003112884
0.439000,0.080711980,0.012123184,0.625055368,-0.003029639
0.440000,0.078727234,0.012197565,0.624677031,-0.002946846
0.441000,0.076749572,0.012271473,0.624292020,-0.002864509
0.442000,0.074779134,0.012344901,0.623900434,-0.002782632
0.443000,0.072816058,0.012417842,0.623502372,-0.002701219
0.444000,0.070860484,0.012490288,0.623097935,-0.002620274
0.445000,0.068912550,0.012562231,0.622687222,-0.002539800
0.446000,0.066972394,0.012633665,0.622270332,-0.002459801
0.447000,0.065040154,0.012704583,0.621847365,-0.002380281
0.448000,0.063115968,0.012774977,0.621418422,-0.002301243
