t,abduct_L.q,abduct_L.w,abduct_R.q,abduct_R.w,hip_L.q,hip_L.w,hip_R.q,hip_R.w
1.672076218695e-02,6.682862165536e-04,8.008309387592e-02,-7.587604146810e-04,-9.089907376350e-02,-3.660324092944e-03,-4.375720453363e-01,-3.664007125324e-03,-4.380049906353e-01
1.689483191933e-02,6.822993638700e-04,8.092303998744e-02,-7.746660752553e-04,-9.185137178454e-02,-3.736887705978e-03,-4.421169389327e-01,-3.740646465439e-03,-4.425540711634e-01
1.706890165171e-02,6.964587371782e-04,8.176317908925e-02,-7.907375182133e-04,-9.280385504239e-02,-3.814242419251e-03,-4.466615088312e-01,-3.818077633750e-03,-4.471028180944e-01
1.727842991096e-02,7.136964065292e-04,8.277471582768e-02,-8.103026872357e-04,-9.395061037174e-02,-3.908403674697e-03,-4.521313870273e-01,-3.912331881311e-03,-4.525777109223e-01
1.748795817020e-02,7.311460513511e-04,8.378653834150e-02,-8.301081626397e-04,-9.509763997261e-02,-4.003710973941e-03,-4.576007854930e-01,-4.007733221842e-03,-4.580521093596e-01
1.769748642945e-02,7.488077318735e-04,8.479864998540e-02,-8.501540022292e-04,-9.624494705191e-02,-4.100164215852e-03,-4.630696983687e-01,-4.104281551121e-03,-4.635260073732e-01
1.790701468870e-02,7.666815090283e-04,8.581105410987e-02,-8.704402644791e-04,-9.739253481200e-02,-4.197763298072e-03,-4.685381197930e-01,-4.201976763664e-03,-4.689993989290e-01
1.811654294794e-02,7.847674444490e-04,8.682375406145e-02,-8.909670085350e-04,-9.854040645101e-02,-4.296508117013e-03,-4.740060439030e-01,-4.300818752720e-03,-4.744722779913e-01
1.832607120719e-02,8.030656004700e-04,8.783675318258e-02,-9.117342942121e-04,-9.968856516270e-02,-4.396398567859e-03,-4.794734648345e-01,-4.400807410276e-03,-4.799446385231e-01
1.853559946643e-02,8.215760401253e-04,8.885005481155e-02,-9.327421819945e-04,-1.008370141363e-01,-4.497434544566e-03,-4.849403767214e-01,-4.501942627053e-03,-4.854164744860e-01
1.874512772568e-02,8.402988271484e-04,8.986366228247e-02,-9.539907330339e-04,-1.019857565567e-01,-4.599615939860e-03,-4.904067736963e-01,-4.604224292504e-03,-4.908877798403e-01
